"","Geo_Location","Date_Created"
"334","{type: Point, coordinates: [33.83669228, -84.33137373]}","Wed Jan 22 18:06:35 +0000 2020"
"36692","{type: Point, coordinates: [55.852472, -4.309626]}","Thu Jan 23 21:01:16 +0000 2020"
"42515","{type: Point, coordinates: [40.01709786, 116.52099609]}","Fri Jan 24 00:32:03 +0000 2020"
"49194","{type: Point, coordinates: [13.75128797, 100.50360861]}","Fri Jan 24 04:32:35 +0000 2020"
"62050","{type: Point, coordinates: [10.5781019, 103.30946031]}","Fri Jan 24 12:05:34 +0000 2020"
"69763","{type: Point, coordinates: [39.79575358, -89.62232636]}","Fri Jan 24 16:37:41 +0000 2020"
"72538","{type: Point, coordinates: [53.73, -1.744]}","Fri Jan 24 18:23:43 +0000 2020"
"91171","{type: Point, coordinates: [52.232222, 21.008333]}","Sat Jan 25 05:12:50 +0000 2020"
"95473","{type: Point, coordinates: [45.75975883, -73.56725453]}","Sat Jan 25 07:43:33 +0000 2020"
"95474","{type: Point, coordinates: [45.75975883, -73.56725453]}","Sat Jan 25 07:43:33 +0000 2020"
"96283","{type: Point, coordinates: [27.4757, 89.6358]}","Sat Jan 25 08:13:18 +0000 2020"
"109873","{type: Point, coordinates: [40.72933203, -73.99643898]}","Sat Jan 25 16:01:32 +0000 2020"
"113479","{type: Point, coordinates: [33.10299942, -111.49238441]}","Sat Jan 25 18:16:33 +0000 2020"
"118198","{type: Point, coordinates: [55.852472, -4.309626]}","Sat Jan 25 21:17:11 +0000 2020"
"135571","{type: Point, coordinates: [22.84434651, 108.29285887]}","Sun Jan 26 07:05:19 +0000 2020"
"137568","{type: Point, coordinates: [45.48138889, 9.17666667]}","Sun Jan 26 08:06:28 +0000 2020"
"142768","{type: Point, coordinates: [52.232222, 21.008333]}","Sun Jan 26 11:06:49 +0000 2020"
"181167","{type: Point, coordinates: [31.2, 121.5]}","Mon Jan 27 09:00:06 +0000 2020"
"193560","{type: Point, coordinates: [37.7929728, -122.3958528]}","Mon Jan 27 16:02:03 +0000 2020"
"201444","{type: Point, coordinates: [10.9545, -63.8529]}","Mon Jan 27 20:33:13 +0000 2020"
"216969","{type: Point, coordinates: [-26.21659308, 28.06045532]}","Tue Jan 28 05:21:02 +0000 2020"
"219306","{type: Point, coordinates: [30.53118006, 72.68319154]}","Tue Jan 28 06:36:35 +0000 2020"
"222691","{type: Point, coordinates: [22.28292, 114.1384378]}","Tue Jan 28 08:36:33 +0000 2020"
"243334","{type: Point, coordinates: [41.6, -72.7]}","Tue Jan 28 19:56:01 +0000 2020"
"243515","{type: Point, coordinates: [37.7929728, -122.3958528]}","Tue Jan 28 19:56:34 +0000 2020"
"248285","{type: Point, coordinates: [45.63697547, -73.56726563]}","Tue Jan 28 22:41:33 +0000 2020"
"251100","{type: Point, coordinates: [43.7742911, -79.7164011]}","Wed Jan 29 00:12:32 +0000 2020"
"259118","{type: Point, coordinates: [41.1231, -75.3594]}","Wed Jan 29 04:43:30 +0000 2020"
"270548","{type: Point, coordinates: [51.7346961, 0.47090924]}","Wed Jan 29 11:16:23 +0000 2020"
"271777","{type: Point, coordinates: [55.852472, -4.309626]}","Wed Jan 29 12:01:16 +0000 2020"
"276143","{type: Point, coordinates: [37.73465621, -122.38733002]}","Wed Jan 29 14:31:33 +0000 2020"
"279179","{type: Point, coordinates: [22.1878, 113.5436]}","Wed Jan 29 16:02:45 +0000 2020"
"293007","{type: Point, coordinates: [37.71235651, -122.40294686]}","Wed Jan 29 23:35:32 +0000 2020"
"298601","{type: Point, coordinates: [40.7142, -74.0064]}","Thu Jan 30 02:36:47 +0000 2020"
"305121","{type: Point, coordinates: [35.562363, 139.716307]}","Thu Jan 30 06:07:39 +0000 2020"
"306590","{type: Point, coordinates: [53.36853317, -6.28034668]}","Thu Jan 30 06:53:03 +0000 2020"
"316662","{type: Point, coordinates: [1.29306, 103.856]}","Thu Jan 30 12:39:02 +0000 2020"
"318511","{type: Point, coordinates: [6.3324, 5.6226]}","Thu Jan 30 13:54:16 +0000 2020"
"330817","{type: Point, coordinates: [52.232222, 21.008333]}","Thu Jan 30 20:27:36 +0000 2020"
"331713","{type: Point, coordinates: [55.12094594, -7.83743914]}","Thu Jan 30 20:57:37 +0000 2020"
"338779","{type: Point, coordinates: [14.7578, 120.948]}","Fri Jan 31 00:44:07 +0000 2020"
"345570","{type: Point, coordinates: [19.86701, 75.34501]}","Fri Jan 31 04:44:24 +0000 2020"
"349401","{type: Point, coordinates: [51.50683, -0.13883]}","Fri Jan 31 06:32:13 +0000 2020"
"352268","{type: Point, coordinates: [55.852472, -4.309626]}","Fri Jan 31 08:01:15 +0000 2020"
"353000","{type: Point, coordinates: [13.0607878, 77.5179662]}","Fri Jan 31 08:30:53 +0000 2020"
"353178","{type: Point, coordinates: [17.9667, 102.6]}","Fri Jan 31 08:31:23 +0000 2020"
"353322","{type: Point, coordinates: [6.43111111, 3.41583333]}","Fri Jan 31 08:45:25 +0000 2020"
"359937","{type: Point, coordinates: [40.7142, -74.0064]}","Fri Jan 31 12:16:56 +0000 2020"
"381533","{type: Point, coordinates: [32.8720738, -117.2148564]}","Sat Feb 01 00:05:36 +0000 2020"
"383376","{type: Point, coordinates: [18.4596876, -69.9485084]}","Sat Feb 01 01:06:04 +0000 2020"
"393010","{type: Point, coordinates: [28.6139, 77.2089]}","Sat Feb 01 06:08:34 +0000 2020"
"395919","{type: Point, coordinates: [52.232222, 21.008333]}","Sat Feb 01 07:39:32 +0000 2020"
"396859","{type: Point, coordinates: [-8.11920192, -35.09248853]}","Sat Feb 01 08:09:25 +0000 2020"
"402024","{type: Point, coordinates: [51.4986, -0.0757]}","Sat Feb 01 10:55:39 +0000 2020"
"405019","{type: Point, coordinates: [30.52502419, 114.35014953]}","Sat Feb 01 12:40:22 +0000 2020"
"406439","{type: Point, coordinates: [-23.17516, -50.6285841]}","Sat Feb 01 13:25:41 +0000 2020"
"407601","{type: Point, coordinates: [26.6318, -81.8571]}","Sat Feb 01 14:10:13 +0000 2020"
"420413","{type: Point, coordinates: [-10.7081, -48.3083]}","Sat Feb 01 20:58:33 +0000 2020"
"422171","{type: Point, coordinates: [35.2205, -97.4436]}","Sat Feb 01 21:58:46 +0000 2020"
"426275","{type: Point, coordinates: [5.067132, -75.518288]}","Sun Feb 02 00:13:49 +0000 2020"
"435438","{type: Point, coordinates: [43.55, -80.25]}","Sun Feb 02 05:00:59 +0000 2020"
"440912","{type: Point, coordinates: [55.852472, -4.309626]}","Sun Feb 02 08:01:18 +0000 2020"
"448292","{type: Point, coordinates: [45.48138889, 9.17666667]}","Sun Feb 02 11:48:45 +0000 2020"
"450611","{type: Point, coordinates: [36.7214, -4.41883]}","Sun Feb 02 13:04:10 +0000 2020"
"457968","{type: Point, coordinates: [52.401817, 4.938853]}","Sun Feb 02 17:04:59 +0000 2020"
"458633","{type: Point, coordinates: [33.45, 76.24]}","Sun Feb 02 17:20:42 +0000 2020"
"469922","{type: Point, coordinates: [-22.788901, -43.369078]}","Sun Feb 02 23:07:27 +0000 2020"
"476569","{type: Point, coordinates: [13.74349415, 100.52983498]}","Mon Feb 03 02:38:46 +0000 2020"
"481194","{type: Point, coordinates: [40.6902211, -73.84641406]}","Mon Feb 03 05:09:01 +0000 2020"
"486706","{type: Point, coordinates: [12.9366966, 100.9309878]}","Mon Feb 03 08:09:06 +0000 2020"
"497253","{type: Point, coordinates: [31.47766515, 74.3013525]}","Mon Feb 03 13:27:50 +0000 2020"
"517031","{type: Point, coordinates: [37.7929728, -122.3958528]}","Tue Feb 04 00:00:32 +0000 2020"
"523419","{type: Point, coordinates: [51.50711486, -0.12731805]}","Tue Feb 04 03:16:53 +0000 2020"
"534041","{type: Point, coordinates: [55.8333256, -4.422932]}","Tue Feb 04 09:02:24 +0000 2020"
"534346","{type: Point, coordinates: [43.81756233, 7.77774454]}","Tue Feb 04 09:03:31 +0000 2020"
"536210","{type: Point, coordinates: [45.5236111, -122.675]}","Tue Feb 04 10:03:35 +0000 2020"
"551498","{type: Point, coordinates: [36.1780363, -115.96711326]}","Tue Feb 04 18:06:32 +0000 2020"
"557902","{type: Point, coordinates: [14.60131923, 120.97531276]}","Tue Feb 04 21:36:58 +0000 2020"
"570371","{type: Point, coordinates: [3.1581, 101.7109]}","Wed Feb 05 04:24:26 +0000 2020"
"571148","{type: Point, coordinates: [-26.21659308, 28.06045532]}","Wed Feb 05 04:54:02 +0000 2020"
"572775","{type: Point, coordinates: [52.232222, 21.008333]}","Wed Feb 05 05:39:57 +0000 2020"
"574406","{type: Point, coordinates: [32.7155, -117.1585]}","Wed Feb 05 06:25:52 +0000 2020"
"574585","{type: Point, coordinates: [43.6191881, 13.5094373]}","Wed Feb 05 06:39:43 +0000 2020"
"577586","{type: Point, coordinates: [1.27907725, 103.85157549]}","Wed Feb 05 08:25:11 +0000 2020"
"589484","{type: Point, coordinates: [18.0419197, -76.8104087]}","Wed Feb 05 14:28:32 +0000 2020"
"595787","{type: Point, coordinates: [18.4596876, -69.9485084]}","Wed Feb 05 17:44:33 +0000 2020"
"595797","{type: Point, coordinates: [18.4596876, -69.9485084]}","Wed Feb 05 17:44:34 +0000 2020"
"604570","{type: Point, coordinates: [40.01709786, 116.52099609]}","Wed Feb 05 22:16:32 +0000 2020"
"604573","{type: Point, coordinates: [40.01709786, 116.52099609]}","Wed Feb 05 22:16:33 +0000 2020"
"604781","{type: Point, coordinates: [37.71235651, -122.40294686]}","Wed Feb 05 22:30:32 +0000 2020"
"606265","{type: Point, coordinates: [40.01709786, 116.52099609]}","Wed Feb 05 23:16:03 +0000 2020"
"606269","{type: Point, coordinates: [40.01709786, 116.52099609]}","Wed Feb 05 23:16:04 +0000 2020"
"611397","{type: Point, coordinates: [39.9289, 116.388]}","Sat Feb 08 02:03:09 +0000 2020"
"618209","{type: Point, coordinates: [22.79377445, 114.70570581]}","Sat Feb 08 05:34:20 +0000 2020"
"619378","{type: Point, coordinates: [8.96389499, 7.42936372]}","Sat Feb 08 06:05:32 +0000 2020"
"620324","{type: Point, coordinates: [37.00748198, -121.57053318]}","Sat Feb 08 06:35:33 +0000 2020"
"624750","{type: Point, coordinates: [37.9034, 127.061]}","Sat Feb 08 08:51:40 +0000 2020"
"630114","{type: Point, coordinates: [-6.23269364, 106.81042769]}","Sat Feb 08 11:51:30 +0000 2020"
"639373","{type: Point, coordinates: [47.50363159, 8.55037294]}","Sat Feb 08 16:38:24 +0000 2020"
"659725","{type: Point, coordinates: [35.0, 136.0]}","Sun Feb 09 03:26:47 +0000 2020"
"660611","{type: Point, coordinates: [35.0, 103.0]}","Sun Feb 09 03:56:33 +0000 2020"
"666421","{type: Point, coordinates: [52.232222, 21.008333]}","Sun Feb 09 06:57:32 +0000 2020"
"667779","{type: Point, coordinates: [51.21955, 4.38519]}","Sun Feb 09 07:29:17 +0000 2020"
"668028","{type: Point, coordinates: [52.232222, 21.008333]}","Sun Feb 09 07:43:22 +0000 2020"
